"08089","  8000250","20140401","HK0080002500","","Chinese Strategic Holdings Ltd.","","0","","0101"
"08090","  8003290","20140401","HK0080032900","","China Assurance Finance Group Ltd.","","0","","0101"
"08092","  8000620","20140401","HK0080006200","","ITE (Holdings) Ltd.","","0","","0101"
"08095","  8000390","20140401","HK0080003900","","Beijing Beida Jade Bird Universal Sci-Tech Co. Ltd. - H Shs","","0","","0101"
"08096","  8001300","20140401","HK0080013000","","Ruifeng Petroleum Chemical Holdings Ltd.","","0","","0101"
"08098","  8003120","20140401","HK0080031200","","CL Group (Holdings) Ltd.","","0","","0101"
"08099","  8003710","20140401","HK0080037100","","China Wood Optimization (Holding) Ltd.","","0","","0101"
"08100","  8001150","20140401","HK0080011500","","M Dream Inworld Ltd.","","0","","0101"
"08101","  8003620","20140401","HK0080036200","","Jia Meng Holdings Ltd.","","0","","0101"
"08103","  8000470","20140401","HK0080004700","","Tai Shing International (Holdings) Ltd.","","0","","0101"
"08106","  8001360","20140401","HK0080013600","","Zheda Lande Scitech Ltd. - H Shares","","0","","0101"
"08107","  8003680","20140401","HK0080036800","","U Banquet Group Holding Ltd.","","0","","0101"
"08108","  8000340","20140401","HK0080003400","","FAVA International Holdings Ltd.","","0","","0101"
"08109","  8001230","20140401","HK0080012300","","Creative Energy Solutions Holdings Ltd.","","0","","0101"
"08111","  8000560","20140401","HK0080005600","","China Technology Solar Power Holdings Ltd.","","0","","0101"
"08112","  8003200","20140401","HK0080032000","","Focus Media Network Ltd.","","0","","0101"
"08115","  8002300","20140401","HK0080023000","","Shanghai Qingpu Fire-Fighting Equipment Co. Ltd. - H Shares","","0","","0101"
"08116","  8000380","20140401","HK0080003800","","China Fortune Investments (Holding) Ltd.","","0","","0101"
"08117","  8001090","20140401","HK0080010900","","China Primary Resources Holdings Ltd.","","0","","0101"
"08119","  8000860","20140401","HK0080008600","","Thiz Technology Group Ltd.","","0","","0101"
"08120","  8000690","20140401","HK0080006900","","Oriental Unicorn Agricultural Group Ltd.","","0","","0101"
"08123","  8001200","20140401","HK0080012000","","First China Financial Network Holdings Ltd.","","0","","0101"
"08126","  8001440","20140401","HK0080014400","","G.A. Holdings Ltd.","","0","","0101"
