20140401113359741,939,A,10360037,0,5.360,1,Y
20140401113359747,939,A,10360053,0,5.360,1,Y
20140401113359758,939,A,10360069,0,5.360,1,Y
20140401113359823,939,A,10360133,0,5.360,2,Y
20140401113359824,939,A,10360149,0,5.360,3,Y
20140401113359828,939,A,10360165,0,5.360,4,Y
20140401113359829,939,A,10360181,0,5.360,5,Y
20140401113359830,939,A,10360197,0,5.360,6,Y
20140401113359921,939,A,10360261,0,5.360,7,Y
20140401113359922,939,A,10360277,0,5.360,8,Y
20140401113359924,939,A,10360293,0,5.360,9,Y
20140401113359925,939,A,10360309,0,5.360,10,Y
20140401113359926,939,A,10360325,0,5.360,20,Y
20140401113400021,939,A,10360389,0,5.360,30,Y
20140401113400022,939,A,10360405,0,5.360,40,Y
20140401113400023,939,A,10360421,0,5.360,50,Y
20140401113400024,939,A,10360437,0,5.360,60,Y
20140401113400025,939,A,10360453,0,5.360,70,Y
20140401113400123,939,A,10360533,0,5.360,80,Y
20140401113400150,939,A,10360565,0,5.360,90,Y
20140401113400150,939,A,10360581,0,5.360,100,Y
20140401113400151,939,A,10360597,0,5.360,200,Y
20140401113400151,939,A,10360613,0,5.360,300,Y
20140401113400223,939,A,10360677,0,5.360,400,Y
20140401113400225,939,A,10360693,0,5.360,500,Y
20140401113400225,939,A,10360709,0,5.360,600,Y
20140401113400226,939,A,10360725,0,5.360,700,Y
20140401113400227,939,A,10360741,0,5.360,800,Y
20140401113400323,939,A,10360837,0,5.360,900,Y
20140401113400324,939,D,9321525,0,,,Y
20140401113400325,939,D,9321509,0,,,Y
20140401113400326,939,D,9321493,0,,,Y
20140401113400326,939,D,9321477,0,,,Y
20140401113400424,939,D,9321397,0,,,Y
20140401113400425,939,D,9321381,0,,,Y
20140401113400425,939,D,9321365,0,,,Y
20140401113400427,939,D,9321349,0,,,Y
20140401113400428,939,D,9321333,0,,,Y
20140401113400525,939,D,9321253,0,,,Y
20140401113400525,939,D,9321237,0,,,Y
20140401113400526,939,D,9321221,0,,,Y
20140401113400527,939,D,9321205,0,,,Y
20140401113400527,939,D,9321189,0,,,Y
20140401113400625,939,D,9321093,0,,,Y
20140401113400626,939,D,9321077,0,,,Y
20140401113400626,939,D,9321061,0,,,Y
20140401113400627,939,D,9321045,0,,,Y
20140401113400628,939,D,9321013,0,,,Y
20140401113400725,939,D,9320869,0,,,Y
20140401113400727,939,D,9320853,0,,,Y
20140401113400728,939,D,9320837,0,,,Y
20140401113400730,939,D,9320821,0,,,Y
20140401113400730,939,D,9320805,0,,,Y
20140401113400826,939,D,9320709,0,,,Y
20140401113400827,939,D,9320693,0,,,Y
20140401113400828,939,D,9320677,0,,,Y
20140401113400829,939,D,9320645,0,,,Y
20140401113400830,939,D,9320629,0,,,Y
20140401113400927,939,D,9320517,0,,,Y
20140401113400928,939,D,9320501,0,,,Y
20140401113400929,939,D,9320469,0,,,Y
20140401113400930,939,D,9320453,0,,,Y
20140401113400930,939,D,9320437,0,,,Y
20140401113401027,939,D,9319653,0,,,Y
20140401113401035,939,D,9319637,0,,,Y
20140401113519710,83,A,10426341,0,11.260,1,Y
20140401113519712,83,A,10426357,0,11.260,1,Y
20140401113519716,83,A,10426373,0,11.260,1,Y
20140401113519745,83,A,10426437,0,11.260,1,Y
20140401113519746,83,A,10426453,0,11.260,1,Y
20140401113519787,83,A,10426485,0,11.260,1,Y
20140401113519790,83,A,10426501,0,11.260,400,Y
20140401113519792,83,A,10426517,0,11.260,400,Y
20140401113519792,83,A,10426533,0,11.260,400,Y
20140401113519793,83,A,10426549,0,11.260,800,Y
20140401113519887,83,A,10426613,0,11.260,800,Y
20140401113519888,83,A,10426629,0,11.260,800,Y
20140401113519889,83,A,10426645,0,11.260,1000,Y
20140401113519891,83,A,10426661,0,11.260,1000,Y
20140401113519894,83,A,10426693,0,11.260,1000,Y
20140401113519988,83,A,10426773,0,11.260,1,Y
20140401113519990,83,A,10426789,0,11.260,2,Y
20140401113519991,83,A,10426805,0,11.260,3,Y
20140401113519997,83,A,10426821,0,11.260,4,Y
20140401113519997,83,A,10426853,0,11.260,5,Y
20140401113520088,83,A,10426933,0,11.260,6,Y
20140401113520090,83,A,10426965,0,11.260,7,Y
20140401113520091,83,A,10426981,0,11.260,8,Y
20140401113520091,83,A,10426997,0,11.260,9,Y
20140401113520092,83,A,10427013,0,11.260,10,Y
20140401113520189,83,A,10427093,0,11.260,20,Y
20140401113520189,83,A,10427109,0,11.260,30,Y
20140401113520190,83,A,10427125,0,11.260,40,Y
20140401113520191,83,A,10427141,0,11.260,50,Y
20140401113520192,83,A,10427157,0,11.260,60,Y
20140401113520289,83,A,10427317,0,11.260,70,Y
20140401113520290,83,A,10427333,0,11.260,80,Y
20140401113520291,83,A,10427365,0,11.260,90,Y
20140401113520292,83,A,10427397,0,11.260,100,Y
20140401113520292,83,A,10427413,0,11.260,200,Y
20140401113520390,83,A,10427477,0,11.260,300,Y
20140401113520391,83,A,10427493,0,11.260,400,Y
20140401113520392,83,A,10427509,0,11.260,500,Y
20140401113520392,83,A,10427525,0,11.260,600,Y
20140401113520393,83,A,10427541,0,11.260,700,Y
20140401113520490,83,A,10427573,0,11.260,800,Y
20140401113520491,83,A,10427589,0,11.260,900,Y
20140401113520492,83,A,10427605,0,11.260,1000,Y
20140401113520493,83,D,9391301,0,,,Y
20140401113520494,83,D,9391253,0,,,Y
20140401113520591,83,D,9391237,0,,,Y
20140401113520592,83,D,9391141,0,,,Y
20140401113520593,83,D,9391125,0,,,Y
20140401113520593,83,D,9391109,0,,,Y
20140401113520594,83,D,9391093,0,,,Y
20140401113520692,83,D,9391077,0,,,Y
20140401113520693,83,D,9391029,0,,,Y
20140401113520694,83,D,9391013,0,,,Y
20140401113520695,83,D,9390997,0,,,Y
20140401113520697,83,D,9390981,0,,,Y
20140401113520792,83,D,9390965,0,,,Y
20140401113520838,83,D,9390917,0,,,Y
20140401113520842,83,D,9390901,0,,,Y
20140401113520842,83,D,9390885,0,,,Y
20140401113520842,83,D,9390869,0,,,Y
20140401113520894,83,D,9390853,0,,,Y
20140401113520895,83,D,9390741,0,,,Y
20140401113520895,83,D,9390725,0,,,Y
20140401113520897,83,D,9390709,0,,,Y
20140401113520897,83,D,9390693,0,,,Y
20140401113520993,83,D,9390677,0,,,Y
20140401113520994,83,D,9390533,0,,,Y
20140401113520996,83,D,9390517,0,,,Y
20140401113520998,83,D,9390501,0,,,Y
20140401113520998,83,D,9390485,0,,,Y
20140401113521094,83,D,9390469,0,,,Y
20140401113521095,83,D,9390357,0,,,Y
20140401113521096,83,D,9390341,0,,,Y
20140401113521096,83,D,9390325,0,,,Y
20140401113521097,83,D,9390309,0,,,Y
20140401113521194,83,D,9390293,0,,,Y
20140401113521196,83,D,9390229,0,,,Y
20140401113521197,83,D,9390213,0,,,Y
20140401113521197,83,D,9390197,0,,,Y
20140401113521198,83,D,9390181,0,,,Y
20140401113521295,83,D,9390165,0,,,Y
